Primary Energy Supply - Energy budget per year
Value = 'Million toe (tonne oil equivalent)'
Origin: https://data.oecd.org/energy/primary-energy-supply.htm#indicator-chart
Citation: OECD (2022), Primary energy supply (indicator). doi: 10.1787/1b33c15a-en (Accessed on 09 March 2022)

LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,Region
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1995,26.82,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1996,28.5,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1997,28.29,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1998,28.77,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1999,28.71,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2000,28.61,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2001,30.23,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2002,30.48,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2003,32.13,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2004,32.65,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2005,33.6,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2006,33.94,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2007,33.26,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2008,33.52,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2009,31.87,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2010,34.0,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2011,32.96,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2012,32.87,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2013,33.28,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2014,32.05,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2015,32.8,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2016,33.17,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,33.78,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2018,32.86,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,2019,33.39,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1960,23.06,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1961,23.61,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1962,25.91,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1963,28.27,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1964,28.34,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1965,29.49,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1966,29.07,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1967,30.5,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1968,34.53,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1969,37.4,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1970,39.93,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1971,39.66,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1972,43.45,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1973,45.99,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1974,45.13,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1975,42.32,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1976,45.38,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1977,45.12,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1978,47.49,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1979,49.02,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1980,46.77,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1981,43.53,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1982,41.48,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1983,40.96,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1984,42.73,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1985,44.1,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1986,45.7,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1987,46.67,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1988,47.24,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1989,47.69,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1990,47.89,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1991,50.05,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1992,50.65,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1993,49.39,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1994,52.46,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1995,53.34,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1996,56.14,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1997,56.34,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1998,57.35,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,1999,57.38,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2000,58.05,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2001,57.67,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2002,55.77,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2003,58.2,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2004,58.4,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2005,58.08,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2006,57.37,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2007,56.26,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2008,57.97,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2009,55.61,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2010,60.03,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2011,55.87,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2012,53.56,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2013,55.82,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2014,52.61,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2015,52.47,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2016,55.58,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,55.33,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2018,53.3,,Europe & Central Asia
BEL,PRYENRGSUPPLY,TOT,MLN_TOE,A,2019,54.88,,Europe & Central Asia
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1960,76.14,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1961,78.71,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1962,82.86,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1963,89.02,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1964,94.77,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1965,101.42,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1966,105.71,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1967,113.44,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1968,121.8,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1969,128.09,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1970,138.11,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1971,141.36,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1972,152.5,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1973,159.35,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1974,161.72,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1975,165.96,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1976,171.04,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1977,176.33,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1978,181.21,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1979,190.29,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1980,191.96,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1981,187.52,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1982,180.18,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1983,179.52,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1984,188.71,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1985,193.01,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1986,196.33,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1987,202.86,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1988,211.29,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1989,217.24,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1990,211.28,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1991,210.77,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1992,215.73,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1993,222.89,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1994,230.79,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1995,233.89,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1996,238.53,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1997,241.03,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1998,239.83,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,1999,246.46,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2000,253.66,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2001,250.01,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2002,250.76,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2003,263.97,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2004,270.58,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2005,273.99,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2006,278.16,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2007,277.88,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2008,270.94,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2009,260.48,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2010,260.78,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2011,266.62,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2012,268.74,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2013,274.15,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2014,281.39,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2015,279.88,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2016,290.5,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,302.48,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2018,306.77,,North America
CAN,PRYENRGSUPPLY,TOT,MLN_TOE,A,2019,305.59,,North America
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1960,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1961,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1962,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1963,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1964,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1965,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1966,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1967,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1968,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1969,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1970,,L,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1971,45.38,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1972,45.53,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1973,45.16,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1974,41.89,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1975,43.67,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1976,44.94,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1977,48.02,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1978,45.36,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1979,48.4,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1980,46.95,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1981,47.05,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1982,47.79,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1983,47.97,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1984,48.98,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1985,49.25,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1986,50.05,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1987,51.51,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1988,50.49,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1989,49.09,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1990,49.8,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1991,45.23,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1992,44.05,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1993,42.67,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1994,41.2,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1995,41.75,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1996,43.05,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1997,43.38,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1998,41.98,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,1999,39.17,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2000,41.24,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2001,42.31,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2002,42.84,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2003,44.72,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2004,45.75,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2005,45.25,,Europe & Central Asia
CZE,PRYENRGSUPPLY,TOT,MLN_TOE,A,2006,46.27,,Europe & Central Asia
